source,row_type,source_phase,source_latency_field,materialization_target,model,hardware,vllm_version,topology,bucket_tokens,module_boundary,quant_runtime,latency_ms,kernel_source_metadata,kernel_source_lookup_key,key_columns,exact_lookup_only,power_default,energy_formula,duplicate_key_policy,missing_exact_key_policy,allowed_candidate_row_count,write_real_data_allowed,next_allowed_phase,gpu_allowed,curve_fit_allowed,interpolation_allowed,extrapolation_allowed,default_readiness,diagnostic_only,valid_for_default,perf_database
phase375_vllm_module_perf_materialization_spec,candidate_materialization_row,phase369_fusedmoe_runner_shape_sweep_result,latency_ms_median,vllm_module_perf.txt,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1,fusedmoe_runner_compute,CompressedTensorsWNA16MarlinMoEMethod,0.187888,CompressedTensorsWNA16MarlinMoEMethod:Marlin,false,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,true,0.0,power*latency,fail_fast,fail_fast,14,false,phase376_write_vllm_module_perf_rows,false,false,false,false,No-Go,true,false,false
phase375_vllm_module_perf_materialization_spec,candidate_materialization_row,phase369_fusedmoe_runner_shape_sweep_result,latency_ms_median,vllm_module_perf.txt,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,15,fusedmoe_runner_compute,CompressedTensorsWNA16MarlinMoEMethod,0.242813,CompressedTensorsWNA16MarlinMoEMethod:Marlin,false,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,true,0.0,power*latency,fail_fast,fail_fast,14,false,phase376_write_vllm_module_perf_rows,false,false,false,false,No-Go,true,false,false
phase375_vllm_module_perf_materialization_spec,candidate_materialization_row,phase369_fusedmoe_runner_shape_sweep_result,latency_ms_median,vllm_module_perf.txt,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,16,fusedmoe_runner_compute,CompressedTensorsWNA16MarlinMoEMethod,0.239764,CompressedTensorsWNA16MarlinMoEMethod:Marlin,false,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,true,0.0,power*latency,fail_fast,fail_fast,14,false,phase376_write_vllm_module_perf_rows,false,false,false,false,No-Go,true,false,false
phase375_vllm_module_perf_materialization_spec,candidate_materialization_row,phase369_fusedmoe_runner_shape_sweep_result,latency_ms_median,vllm_module_perf.txt,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,241,fusedmoe_runner_compute,CompressedTensorsWNA16MarlinMoEMethod,1.889204,CompressedTensorsWNA16MarlinMoEMethod:Marlin,false,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,true,0.0,power*latency,fail_fast,fail_fast,14,false,phase376_write_vllm_module_perf_rows,false,false,false,false,No-Go,true,false,false
phase375_vllm_module_perf_materialization_spec,candidate_materialization_row,phase369_fusedmoe_runner_shape_sweep_result,latency_ms_median,vllm_module_perf.txt,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1808,fusedmoe_runner_compute,CompressedTensorsWNA16MarlinMoEMethod,4.729947,CompressedTensorsWNA16MarlinMoEMethod:Marlin,false,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,true,0.0,power*latency,fail_fast,fail_fast,14,false,phase376_write_vllm_module_perf_rows,false,false,false,false,No-Go,true,false,false
phase375_vllm_module_perf_materialization_spec,candidate_materialization_row,phase369_fusedmoe_runner_shape_sweep_result,latency_ms_median,vllm_module_perf.txt,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,2048,fusedmoe_runner_compute,CompressedTensorsWNA16MarlinMoEMethod,5.344776,CompressedTensorsWNA16MarlinMoEMethod:Marlin,false,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,true,0.0,power*latency,fail_fast,fail_fast,14,false,phase376_write_vllm_module_perf_rows,false,false,false,false,No-Go,true,false,false
phase375_vllm_module_perf_materialization_spec,candidate_materialization_row,phase369_fusedmoe_runner_shape_sweep_result,latency_ms_median,vllm_module_perf.txt,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,8192,fusedmoe_runner_compute,CompressedTensorsWNA16MarlinMoEMethod,20.612520,CompressedTensorsWNA16MarlinMoEMethod:Marlin,false,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,true,0.0,power*latency,fail_fast,fail_fast,14,false,phase376_write_vllm_module_perf_rows,false,false,false,false,No-Go,true,false,false
phase375_vllm_module_perf_materialization_spec,candidate_materialization_row,phase366_ep8_comm_minimal_shape_sweep_result,latency_ms,vllm_module_perf.txt,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,1,ep8_comm_dispatch_combine,CompressedTensorsWNA16MarlinMoEMethod,0.157088,allgather_reducescatter:AgRsAll2AllManager,false,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,true,0.0,power*latency,fail_fast,fail_fast,14,false,phase376_write_vllm_module_perf_rows,false,false,false,false,No-Go,true,false,false
phase375_vllm_module_perf_materialization_spec,candidate_materialization_row,phase366_ep8_comm_minimal_shape_sweep_result,latency_ms,vllm_module_perf.txt,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,15,ep8_comm_dispatch_combine,CompressedTensorsWNA16MarlinMoEMethod,0.109920,allgather_reducescatter:AgRsAll2AllManager,false,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,true,0.0,power*latency,fail_fast,fail_fast,14,false,phase376_write_vllm_module_perf_rows,false,false,false,false,No-Go,true,false,false
phase375_vllm_module_perf_materialization_spec,candidate_materialization_row,phase366_ep8_comm_minimal_shape_sweep_result,latency_ms,vllm_module_perf.txt,kimi-k2.5,h200_sxm,0.19.0,tp4dp2ep8,16,ep8_comm_dispatch_combine,CompressedTensorsWNA16MarlinMoEMethod,0.083776,allgather_reducescatter:AgRsAll2AllManager,false,model;hardware;vllm_version;topology;bucket_tokens;module_boundary;quant_runtime,true,0.0,power*latency,fail_fast,fail_fast,14,false,phase376_write_vllm_module_perf_rows,false,false,false,false,No-Go,true,false,false
